id,tokens,ner_tags
2000,Many,0
2000,climbers,0
2000,dream,0
2000,of,0
2000,scaling,0
2000,the,0
2000,summit,0
2000,of,0
2000,a,0
2000,great,0
2000,peak,0
2001,The,0
2001,expedition,0
2001,team,0
2001,set,0
2001,up,0
2001,camp,0
2001,at,0
2001,the,0
2001,base,0
2001,of,0
2002,The,0
2002,expedition,0
2002,team,0
2002,set,0
2002,up,0
2002,camp,0
2002,at,0
2002,the,0
2002,base,0
2002,of,0
2003,The,0
2003,legend,0
2003,of,0
2003,revolves,0
2003,around,0
2003,the,0
2003,mythical,0
2003,creatures,0
2003,of,0
2004,is,0
2004,famed,0
2004,for,0
2004,its,0
2004,challenging,0
2004,climbing,0
2004,routes,0
2004,and,0
2004,unique,0
2004,geology,0
2005,Mount,1
2005,Kilimanjaro,2
2005,is,0
2005,a,0
2005,prominent,0
2005,feature,0
2005,in,0
2005,the,0
2005,landscape,0
2005,of,0
2006,is,0
2006,famed,0
2006,for,0
2006,its,0
2006,challenging,0
2006,climbing,0
2006,routes,0
2006,and,0
2006,unique,0
2006,geology,0
2007,The,0
2007,hiking,0
2007,trail,0
2007,leads,0
2007,to,0
2007,a,0
2007,beautiful,0
2007,valley,0
2007,near,0
2008,Many,0
2008,climbers,0
2008,dream,0
2008,of,0
2008,scaling,0
2008,the,0
2008,summit,0
2008,of,0
2008,a,0
2008,great,0
2008,peak,0
2009,The,0
2009,expedition,0
2009,team,0
2009,set,0
2009,up,0
2009,camp,0
2009,at,0
2009,the,0
2009,base,0
2009,of,0
2010,Mount,1
2010,Annapurna,2
2010,is,0
2010,a,0
2010,prominent,0
2010,feature,0
2010,in,0
2010,the,0
2010,landscape,0
2010,of,0
2011,Many,0
2011,climbers,0
2011,dream,0
2011,of,0
2011,scaling,0
2011,the,0
2011,summit,0
2011,of,0
2011,a,0
2011,great,0
2011,peak,0
2012,The,0
2012,legend,0
2012,of,0
2012,revolves,0
2012,around,0
2012,the,0
2012,mythical,0
2012,creatures,0
2012,of,0
2013,Many,0
2013,climbers,0
2013,dream,0
2013,of,0
2013,scaling,0
2013,the,0
2013,summit,0
2013,of,0
2013,a,0
2013,great,0
2013,peak,0
2014,The,0
2014,hiking,0
2014,trail,0
2014,leads,0
2014,to,0
2014,a,0
2014,beautiful,0
2014,valley,0
2014,near,0
2015,Mount,1
2015,Olympus,2
2015,is,0
2015,a,0
2015,prominent,0
2015,feature,0
2015,in,0
2015,the,0
2015,landscape,0
2015,of,0
2016,The,0
2016,legend,0
2016,of,0
2016,revolves,0
2016,around,0
2016,the,0
2016,mythical,0
2016,creatures,0
2016,of,0
2017,The,0
2017,hiking,0
2017,trail,0
2017,leads,0
2017,to,0
2017,a,0
2017,beautiful,0
2017,valley,0
2017,near,0
2018,Many,0
2018,climbers,0
2018,dream,0
2018,of,0
2018,scaling,0
2018,the,0
2018,summit,0
2018,of,0
2018,a,0
2018,great,0
2018,peak,0
2019,is,0
2019,famed,0
2019,for,0
2019,its,0
2019,challenging,0
2019,climbing,0
2019,routes,0
2019,and,0
2019,unique,0
2019,geology,0
2020,Mount,1
2020,Annapurna,2
2020,is,0
2020,a,0
2020,prominent,0
2020,feature,0
2020,in,0
2020,the,0
2020,landscape,0
2020,of,0
2021,The,0
2021,legend,0
2021,of,0
